Kabupaten/Kota,Provinsi,KATEGORI,NCPR,ENERGI,PROHE,CBPK,MISKIN,CVHARGA,POU,RLSP,TNPAIR,TNPLISTRIK,NAKES,AHH,AMANPANGN,PPH,STUNTING,BANSOS,IKP
Aceh Selatan,Aceh,Sangat Tahan,0.91,94.4,73.7,100.0,12.1,7.4,13.7,8.5,34.0,0.0,2.22,64.81,65.2,69.8,40.2,1159688400000.0,70.13
Aceh Tenggara,Aceh,Tahan,0.55,103.1,92.2,0.0,12.5,8.9,13.0,10.13,44.2,0.0,2.2,68.65,40.0,82.7,32.9,1159688400000.0,64.98
Aceh Timur,Aceh,Sangat Tahan,0.77,95.3,92.1,0.0,13.4,7.3,8.6,8.99,38.7,0.45,1.68,69.07,87.2,79.2,29.7,1159688400000.0,67.8
Aceh Tengah,Aceh,Tahan,2.87,98.2,81.6,0.0,14.4,5.7,8.6,10.04,26.3,0.08,2.16,69.18,70.5,84.1,23.6,1159688400000.0,67.62
Aceh Barat,Aceh,Sangat Tahan,0.71,97.7,101.5,12.0,17.9,9.5,6.2,10.27,23.4,0.0,1.46,68.34,71.3,83.4,33.4,1159688400000.0,68.78
Aceh Besar,Aceh,Sangat Tahan,0.5,90.1,83.7,25.8,13.4,5.5,8.6,10.87,10.1,0.43,1.38,70.14,76.7,75.1,30.1,1159688400000.0,71.73
Pidie,Aceh,Tahan,0.38,98.6,72.1,0.0,18.8,4.8,9.1,9.29,31.5,0.09,0.7,67.29,16.3,71.7,29.5,1159688400000.0,62.52
Aceh Utara,Aceh,Tahan,0.5,91.8,89.9,0.0,16.6,6.9,14.2,9.37,37.1,0.01,0.56,69.15,62.0,80.8,25.2,1159688400000.0,65.61
Simeulue,Aceh,Tahan,0.82,96.2,82.8,0.0,17.9,16.5,10.9,9.91,17.8,0.13,1.68,65.61,35.3,69.6,30.7,1159688400000.0,57.46
Aceh Singkil,Aceh,Tahan,9.07,104.2,94.2,0.0,19.2,6.6,7.3,9.02,40.3,0.0,1.74,67.78,31.5,91.1,34.1,1159688400000.0,58.07
Bireuen,Aceh,Sangat Tahan,0.62,99.8,89.7,0.0,12.1,4.5,7.6,9.67,27.7,0.01,0.46,71.66,86.4,83.1,32.9,1159688400000.0,71.74
Aceh Barat Daya,Aceh,Tahan,0.57,99.7,90.9,0.0,15.4,11.6,9.6,9.2,24.2,0.0,1.7,65.48,39.7,72.6,27.9,1159688400000.0,62.74
Gayo Lues,Aceh,Sangat Tahan,0.66,115.2,96.3,0.0,18.8,6.5,9.2,8.39,20.5,0.18,6.33,65.92,16.7,90.0,15.4,1159688400000.0,69.36
Aceh Jaya,Aceh,Sangat Tahan,0.35,107.2,100.6,100.0,12.4,4.0,9.4,8.98,26.9,0.14,4.54,67.55,57.1,84.5,34.0,1159688400000.0,79.81
Nagan Raya,Aceh,Sangat Tahan,0.81,120.0,120.0,0.0,17.3,8.7,3.4,9.14,24.0,0.13,2.19,69.6,33.3,98.9,31.6,1159688400000.0,72.23
Aceh Tamiang,Aceh,Sangat Tahan,0.9,91.1,99.1,76.4,12.5,7.9,12.1,9.58,14.6,0.0,1.27,70.04,36.3,84.5,35.9,1159688400000.0,72.41
Bener Meriah,Aceh,Tahan,2.81,112.0,96.8,0.0,18.3,6.0,7.2,10.3,61.0,1.26,1.15,69.64,22.2,93.6,32.2,1159688400000.0,64.7
Pidie Jaya,Aceh,Tahan,0.36,100.3,89.0,0.0,18.4,6.5,9.5,9.85,32.9,0.09,0.46,70.6,21.6,82.2,29.4,1159688400000.0,65.0
Kota Banda Aceh,Aceh,Sangat Tahan,10.0,89.6,116.0,100.0,7.0,5.0,5.5,12.0,0.1,0.0,0.01,72.02,42.8,83.8,21.7,1159688400000.0,74.79
Kota Sabang,Aceh,Tahan,10.0,99.8,106.5,0.0,14.6,8.1,9.0,10.94,3.9,0.69,0.2,70.98,83.3,89.4,25.6,1159688400000.0,64.92
Kota Lhokseumawe,Aceh,Sangat Tahan,3.92,89.2,100.9,0.0,10.7,6.4,6.1,11.31,1.8,0.0,0.08,72.06,41.1,84.7,20.7,1159688400000.0,69.04
Kota Langsa,Aceh,Sangat Tahan,4.99,89.2,120.0,0.0,10.5,4.7,9.9,11.27,6.2,0.0,0.17,69.78,28.7,83.9,25.6,1159688400000.0,68.64
Kota Subulussalam,Aceh,Tahan,5.54,101.0,87.1,0.0,16.4,10.1,7.3,8.78,55.1,0.0,1.4,64.41,62.2,87.9,29.6,1159688400000.0,59.49
Tapanuli Tengah,Sumatera Utara,Tahan,1.53,91.0,86.4,0.0,11.5,4.4,7.0,8.96,35.2,0.64,1.42,67.9,19.4,77.1,23.8,1844518800000.0,65.06
Tapanuli Utara,Sumatera Utara,Sangat Tahan,0.31,107.5,115.9,50.1,8.5,4.4,7.0,10.19,51.7,0.33,2.22,69.57,24.3,92.8,27.4,1844518800000.0,76.67
Tapanuli Selatan,Sumatera Utara,Sangat Tahan,0.58,105.4,75.3,8.2,7.0,3.1,8.1,9.57,55.3,0.67,3.22,65.56,4.4,84.6,15.6,1844518800000.0,68.67
Nias,Sumatera Utara,Tahan,0.69,104.0,66.8,6.3,15.1,7.1,8.1,7.06,64.2,9.77,0.87,70.34,25.5,80.8,20.3,1844518800000.0,61.6
Langkat,Sumatera Utara,Sangat Tahan,1.07,96.4,92.0,0.0,9.2,5.9,10.7,8.97,26.9,0.54,1.85,69.64,54.5,90.8,16.9,1844518800000.0,70.84
Karo,Sumatera Utara,Sangat Tahan,0.27,111.6,106.6,56.0,8.0,6.7,5.4,10.28,41.3,0.0,1.51,72.28,51.0,91.8,24.7,1844518800000.0,78.29
Deli Serdang,Sumatera Utara,Sangat Tahan,0.87,96.4,98.7,7.7,3.4,5.3,9.7,10.41,14.4,0.17,0.51,72.31,93.9,91.4,33.8,1844518800000.0,76.51
Simalungun,Sumatera Utara,Sangat Tahan,0.58,103.2,117.9,0.0,7.9,6.4,11.2,9.78,41.9,0.11,1.78,72.2,74.0,93.9,17.7,1844518800000.0,75.03
Asahan,Sumatera Utara,Sangat Tahan,2.08,95.6,104.7,0.0,8.2,12.0,8.7,9.18,24.3,0.11,1.82,69.09,73.1,89.0,11.0,1844518800000.0,69.32
Labuhanbatu,Sumatera Utara,Tahan,1.55,98.3,90.7,0.0,8.0,7.6,7.4,9.69,41.4,0.09,1.39,70.77,33.3,85.0,20.2,1844518800000.0,67.05
Dairi,Sumatera Utara,Sangat Tahan,0.37,99.2,87.9,0.0,7.5,4.5,7.7,10.08,36.7,0.38,2.02,70.11,60.3,85.6,32.6,1844518800000.0,71.09
Toba,Sumatera Utara,Sangat Tahan,0.29,112.8,119.1,0.0,8.0,4.7,6.9,10.5,25.7,0.35,2.06,71.24,56.8,92.9,28.0,1844518800000.0,77.51
Mandailing Natal,Sumatera Utara,Tahan,1.14,109.0,75.7,0.0,8.9,5.7,9.0,9.37,55.1,1.1,3.08,63.47,15.6,86.6,20.7,1844518800000.0,66.05
Nias Selatan,Sumatera Utara,Tahan,1.36,101.5,64.2,0.0,16.4,7.1,13.4,6.99,63.2,6.06,1.2,69.58,36.8,72.6,31.8,1844518800000.0,57.5
Pakpak Bharat,Sumatera Utara,Sangat Tahan,0.89,110.0,99.4,0.0,7.5,3.6,5.3,9.9,56.8,0.58,3.57,66.89,39.2,91.7,28.9,1844518800000.0,72.01
Humbang Hasundutan,Sumatera Utara,Sangat Tahan,0.37,108.8,108.5,20.7,8.7,5.1,5.8,9.93,49.2,0.33,3.18,70.27,67.1,87.2,18.4,1844518800000.0,76.25
Samosir,Sumatera Utara,Sangat Tahan,0.38,109.9,116.0,0.0,11.7,5.5,6.3,9.2,47.2,0.25,2.85,72.24,61.3,92.5,22.4,1844518800000.0,74.13
Serdang Bedagai,Sumatera Utara,Sangat Tahan,0.21,100.6,95.6,31.5,7.4,5.0,10.6,9.14,33.3,0.0,1.51,69.59,57.6,90.8,14.4,1844518800000.0,76.06
Batu Bara,Sumatera Utara,Sangat Tahan,1.07,91.8,90.3,0.0,11.4,5.9,8.4,9.13,35.5,0.02,0.72,67.88,64.0,82.5,17.7,1844518800000.0,68.83
Padang Lawas Utara,Sumatera Utara,Tahan,1.21,109.4,71.5,14.7,8.8,5.1,6.1,9.74,42.5,0.0,3.26,67.82,8.1,82.9,21.8,1844518800000.0,67.69
Padang Lawas,Sumatera Utara,Sangat Tahan,1.28,102.0,68.7,36.9,7.9,5.3,5.3,9.86,39.9,0.44,2.67,67.71,55.8,86.0,17.7,1844518800000.0,72.47
Labuhanbatu Selatan,Sumatera Utara,Tahan,10.0,97.5,93.1,0.0,8.1,7.5,5.3,9.32,24.7,0.2,2.79,69.54,67.8,86.6,16.0,1844518800000.0,63.27
Labuhanbatu Utara,Sumatera Utara,Sangat Tahan,1.0,98.0,95.0,5.9,9.1,7.0,7.7,9.28,37.5,0.11,2.18,70.25,85.3,84.7,9.6,1844518800000.0,72.7
Nias Utara,Sumatera Utara,Tahan,0.62,102.7,74.9,6.1,21.8,8.0,9.2,7.01,46.3,6.5,1.41,70.24,16.7,72.8,20.3,1844518800000.0,59.65
Nias Barat,Sumatera Utara,Tahan,1.09,97.6,62.9,0.0,22.8,10.4,11.0,7.19,85.3,6.32,0.69,69.96,16.7,75.2,28.9,1844518800000.0,51.73
Kota Medan,Sumatera Utara,Sangat Tahan,10.0,99.6,120.0,0.0,8.0,5.8,7.3,11.59,2.9,0.01,0.02,73.93,82.8,91.8,5.8,1844518800000.0,71.85
Kota Pematangsiantar,Sumatera Utara,Sangat Tahan,3.0,102.3,120.0,0.0,7.2,5.5,9.1,11.56,8.3,0.0,0.04,74.75,60.6,93.2,7.7,1844518800000.0,77.19
Kota Sibolga,Sumatera Utara,Tahan,10.0,89.5,111.7,0.0,11.4,7.4,7.3,10.45,4.3,0.0,0.01,70.18,47.0,79.3,10.6,1844518800000.0,63.34
Kota Tanjung Balai,Sumatera Utara,Tahan,10.0,101.8,120.0,0.0,12.2,10.1,7.6,10.13,1.1,0.0,0.07,64.28,64.6,89.1,5.7,1844518800000.0,66.44
Kota Binjai,Sumatera Utara,Sangat Tahan,4.99,90.9,98.4,10.5,4.8,5.3,11.5,11.07,5.4,0.0,0.05,73.13,77.8,89.0,19.4,1844518800000.0,72.75
Kota Tebing Tinggi,Sumatera Utara,Sangat Tahan,4.87,102.3,120.0,0.0,9.5,5.8,9.8,10.88,28.5,0.0,0.04,71.63,77.1,91.4,10.4,1844518800000.0,73.35
Kota Padang Sidempuan,Sumatera Utara,Sangat Tahan,1.81,99.3,97.7,20.5,6.9,4.2,7.5,11.11,37.9,0.29,0.14,70.2,80.9,93.0,26.1,1844518800000.0,75.83
Kota Gunungsitoli,Sumatera Utara,Tahan,1.89,83.6,74.5,0.0,14.8,8.2,9.7,8.52,20.5,0.67,0.25,72.09,20.9,69.6,18.9,1844518800000.0,59.78
Pesisir Selatan,Sumatera Barat,Sangat Tahan,0.42,100.7,80.1,54.5,7.3,7.1,8.6,9.13,15.8,0.31,2.78,71.52,81.7,88.1,27.0,764183400000.0,76.53
Solok,Sumatera Barat,Sangat Tahan,0.37,112.2,81.6,0.0,7.1,5.8,6.8,8.57,32.6,0.35,3.29,69.56,72.2,90.5,25.4,764183400000.0,73.08
Sijunjung,Sumatera Barat,Sangat Tahan,0.69,103.1,77.9,21.9,5.9,6.4,5.9,9.23,27.3,0.86,3.62,67.02,68.6,92.6,28.5,764183400000.0,73.7
Tanah Datar,Sumatera Barat,Sangat Tahan,0.33,99.2,80.8,43.1,4.2,3.1,9.5,9.56,15.7,0.27,1.37,70.84,56.8,89.0,18.5,764183400000.0,78.34
Padang Pariaman,Sumatera Barat,Sangat Tahan,0.52,91.0,73.7,0.0,6.3,4.8,7.4,8.86,23.5,0.32,0.92,69.7,73.1,81.4,19.4,764183400000.0,70.85
Agam,Sumatera Barat,Sangat Tahan,0.55,98.8,93.0,12.3,6.6,5.7,9.9,9.63,20.6,0.64,1.95,73.23,71.6,85.7,20.1,764183400000.0,74.37
Lima Puluh Kota,Sumatera Barat,Sangat Tahan,0.41,108.2,85.9,100.0,6.8,6.8,6.9,8.37,33.8,0.05,3.12,70.3,74.0,92.9,28.6,764183400000.0,80.36
Pasaman,Sumatera Barat,Sangat Tahan,0.33,105.2,80.8,100.0,6.8,9.1,8.7,8.37,33.3,0.5,2.69,68.29,56.1,89.7,29.4,764183400000.0,76.43
Kepulauan Mentawai,Sumatera Barat,Sangat Tahan,3.18,103.4,87.1,98.0,13.7,7.5,10.6,7.85,72.9,10.4,8.11,65.1,46.2,88.4,33.7,764183400000.0,68.63
Dharmasraya,Sumatera Barat,Sangat Tahan,1.02,95.6,81.5,19.5,5.6,4.1,6.2,9.23,26.9,0.17,2.33,72.24,69.5,91.2,17.7,764183400000.0,75.06
Solok Selatan,Sumatera Barat,Sangat Tahan,0.42,110.7,88.1,38.9,6.5,6.1,8.0,9.36,26.8,0.35,6.8,68.71,65.5,95.4,14.7,764183400000.0,78.42
Pasaman Barat,Sumatera Barat,Sangat Tahan,0.67,98.6,71.1,99.3,6.9,4.9,7.2,9.69,34.4,0.24,2.1,68.53,79.4,84.6,29.7,764183400000.0,78.5
Kota Padang,Sumatera Barat,Sangat Tahan,3.11,92.4,103.6,20.8,4.2,4.4,6.5,11.6,4.2,0.0,0.1,74.16,60.0,87.8,24.2,764183400000.0,75.99
Kota Solok,Sumatera Barat,Sangat Tahan,0.88,99.6,100.1,100.0,3.1,9.8,6.7,11.27,2.1,0.0,0.05,74.39,61.2,93.1,16.3,764183400000.0,83.34
Kota Sawahlunto,Sumatera Barat,Sangat Tahan,0.73,99.3,85.6,10.3,2.3,5.8,8.8,10.45,6.5,0.17,0.44,70.69,83.4,91.1,19.5,764183400000.0,77.5
Kota Padang Panjang,Sumatera Barat,Sangat Tahan,2.05,93.5,91.2,18.1,5.2,7.3,6.8,12.0,12.3,0.45,0.05,73.23,69.9,85.4,15.8,764183400000.0,74.37
Kota Bukittinggi,Sumatera Barat,Sangat Tahan,5.48,92.0,97.8,0.0,4.1,7.1,6.2,11.77,2.6,0.0,0.02,75.13,80.5,86.9,20.1,764183400000.0,71.55
Kota Payakumbuh,Sumatera Barat,Sangat Tahan,0.9,100.5,109.8,100.0,5.4,5.5,6.5,11.25,3.4,0.0,0.09,74.43,71.7,87.7,19.8,764183400000.0,85.9
Kota Pariaman,Sumatera Barat,Sangat Tahan,1.06,89.5,90.6,8.9,4.2,5.9,8.4,10.93,14.3,0.0,0.07,70.95,58.3,88.9,17.7,764183400000.0,73.93
Kampar,Riau,Tahan,8.63,96.4,96.6,74.6,7.0,11.2,12.0,9.44,24.7,0.0,4.21,71.42,18.1,90.4,7.6,631447200000.0,66.13
Indragiri Hulu,Riau,Sangat Tahan,10.0,98.7,96.8,100.0,6.1,7.0,12.3,8.61,16.3,1.01,5.19,70.69,75.9,92.7,12.7,631447200000.0,73.45
Bengkalis,Riau,Sangat Tahan,3.98,100.9,112.7,73.3,6.3,5.5,12.8,9.51,36.9,0.18,4.0,71.79,30.0,89.7,17.9,631447200000.0,74.71
Indragiri Hilir,Riau,Tahan,1.63,97.5,90.5,8.4,5.6,7.3,17.1,7.77,73.1,4.18,5.86,68.62,83.7,85.3,18.8,631447200000.0,66.95
Pelalawan,Riau,Sangat Tahan,3.6,105.1,99.1,21.7,8.2,9.4,11.0,9.07,13.6,0.52,7.97,72.0,90.7,90.7,10.1,631447200000.0,73.68
Rokan Hulu,Riau,Tahan,10.0,101.7,95.4,11.4,9.7,7.2,9.3,9.26,15.7,0.64,4.42,70.84,83.3,91.8,15.9,631447200000.0,66.36
Rokan Hilir,Riau,Tahan,3.47,92.2,92.1,0.0,7.1,8.0,12.6,8.9,37.3,0.13,3.59,70.99,13.3,84.6,16.6,631447200000.0,63.02
Siak,Riau,Sangat Tahan,2.94,103.3,106.7,11.0,5.2,6.6,10.3,10.01,9.9,0.0,4.77,71.64,61.0,93.8,10.4,631447200000.0,75.73
Kuantan Singingi,Riau,Sangat Tahan,2.39,97.5,97.5,0.0,8.1,5.0,13.8,9.01,28.9,0.7,4.29,69.13,66.5,89.4,23.0,631447200000.0,70.46
Kepulauan Meranti,Riau,Tahan,0.09,99.3,96.3,0.0,23.0,6.2,16.0,8.47,89.6,1.9,5.21,68.41,76.7,86.0,19.6,631447200000.0,63.87
Kota Pekanbaru,Riau,Sangat Tahan,10.0,90.5,115.0,76.0,3.2,8.0,11.8,11.82,7.8,0.0,0.08,73.02,73.0,83.1,8.7,631447200000.0,73.4
Kota Dumai,Riau,Tahan,9.53,98.1,111.4,23.8,3.2,7.9,12.4,10.35,13.1,0.79,1.18,71.67,32.4,87.9,14.9,631447200000.0,66.68
Kerinci,Jambi,Sangat Tahan,0.53,112.1,100.5,18.8,7.5,6.7,15.1,8.25,32.3,3.27,3.39,70.55,76.1,93.3,8.7,410777400000.0,76.39
Merangin,Jambi,Sangat Tahan,1.86,89.9,70.4,40.8,8.9,7.8,15.1,8.61,50.0,0.09,3.48,71.75,81.9,84.7,14.9,410777400000.0,68.23
Sarolangun,Jambi,Sangat Tahan,3.29,94.2,83.8,24.1,8.5,7.1,12.8,8.2,49.6,0.56,4.47,69.7,89.2,89.5,4.8,410777400000.0,69.89
Batanghari,Jambi,Sangat Tahan,2.56,101.4,99.6,61.8,9.5,5.5,15.5,8.42,28.9,0.73,4.41,71.22,28.3,93.3,10.1,410777400000.0,74.22
Muaro Jambi,Jambi,Sangat Tahan,3.56,100.2,95.5,100.0,4.4,5.1,11.1,9.09,29.2,0.09,3.41,71.84,83.8,95.0,12.0,410777400000.0,81.47
Tanjung Jabung Barat,Jambi,Sangat Tahan,2.32,93.1,87.4,85.5,9.8,5.5,14.3,8.59,53.1,0.71,4.23,68.67,34.8,87.6,14.1,410777400000.0,71.91
Tanjung Jabung Timur,Jambi,Sangat Tahan,1.6,110.3,115.3,35.2,10.9,4.9,12.3,8.15,49.1,0.81,4.79,66.98,26.8,95.1,23.7,410777400000.0,73.01
Bungo,Jambi,Sangat Tahan,2.78,98.0,106.7,64.7,5.3,6.4,9.5,8.53,26.7,0.31,2.66,68.43,84.8,92.5,13.7,410777400000.0,78.79
Tebo,Jambi,Sangat Tahan,2.91,95.0,73.1,43.0,6.5,6.3,14.0,8.4,28.3,0.29,5.11,70.49,78.8,87.6,22.7,410777400000.0,70.85
Kota Jambi,Jambi,Sangat Tahan,10.0,92.4,103.1,100.0,8.2,8.3,10.7,11.34,9.3,0.0,0.04,73.29,90.7,90.4,13.5,410777400000.0,74.44
Kota Sungai Penuh,Jambi,Sangat Tahan,0.64,96.1,90.0,14.8,3.0,6.5,15.8,10.04,8.0,0.0,0.32,72.86,95.1,89.9,4.1,410777400000.0,78.16
Ogan Komering Ulu,Sumatera Selatan,Sangat Tahan,2.49,98.3,72.5,100.0,11.5,7.2,6.2,9.4,27.6,0.0,1.75,68.85,78.5,91.0,15.7,1106404800000.0,77.01
